Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Pases_recibidos,Pases_balon_vivo,Pases_completados,Pases_intentados,xG,precio_millones
Þorir Johann Helgason,is ISL,LM,24.239,2025-05-25 00:00:00,0.0,2.0,5.0,7.0,9.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.232,2025-05-18 00:00:00,0.0,8.0,8.0,8.0,12.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,AM,24.225,2025-05-11 00:00:00,0.0,19.0,24.0,21.0,30.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,DM,24.217,2025-05-03 00:00:00,0.0,18.0,22.0,15.0,23.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,LW,24.211,2025-04-27 00:00:00,0.0,2.0,4.0,4.0,4.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.203,2025-04-19 00:00:00,0.0,13.0,14.0,10.0,21.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.196,2025-04-12 00:00:00,0.0,4.0,3.0,4.0,6.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,AM,24.190,2025-04-06 00:00:00,0.0,20.0,23.0,20.0,34.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.182,2025-03-29 00:00:00,0.0,10.0,12.0,10.0,19.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,AM,24.167,2025-03-14 00:00:00,0.0,15.0,19.0,16.0,24.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.161,2025-03-08 00:00:00,0.0,13.0,20.0,15.0,22.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,RW,24.153,2025-02-28 00:00:00,0.0,8.0,6.0,3.0,6.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,AM,24.141,2025-02-16 00:00:00,0.0,16.0,15.0,18.0,23.0,0.2,3000000.0
Þorir Johann Helgason,is ISL,AM,24.134,2025-02-09 00:00:00,0.0,17.0,17.0,14.0,21.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,RM,24.125,2025-01-31 00:00:00,0.0,27.0,25.0,16.0,27.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,"RM,LM",24.120,2025-01-26 00:00:00,0.0,35.0,33.0,28.0,41.0,0.1,3000000.0
Þorir Johann Helgason,is ISL,RM,24.113,2025-01-19 00:00:00,0.0,12.0,16.0,9.0,17.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,RM,24.105,2025-01-11 00:00:00,0.0,21.0,21.0,13.0,24.0,0.2,3000000.0
Þorir Johann Helgason,is ISL,RM,24.099,2025-01-05 00:00:00,0.0,11.0,14.0,14.0,16.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,LM,24.078,2024-12-15 00:00:00,0.0,8.0,9.0,5.0,11.0,0.0,3000000.0
Þorir Johann Helgason,is ISL,"LW,LM",24.058,2024-11-25 00:00:00,0.0,3.0,5.0,5.0,5.0,0.0,3000000.0
Ørjan Nyland,no NOR,GK,34.250,2025-05-18 00:00:00,0.0,12.0,20.0,17.0,33.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.245,2025-05-13 00:00:00,0.0,13.0,23.0,18.0,35.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.242,2025-05-10 00:00:00,0.0,16.0,21.0,18.0,26.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.236,2025-05-04 00:00:00,0.0,23.0,32.0,23.0,40.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.226,2025-04-24 00:00:00,0.0,8.0,9.0,12.0,21.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.222,2025-04-20 00:00:00,0.0,20.0,30.0,26.0,42.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.213,2025-04-11 00:00:00,0.0,19.0,21.0,21.0,25.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.208,2025-04-06 00:00:00,0.0,31.0,42.0,31.0,48.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.201,2025-03-30 00:00:00,0.0,17.0,24.0,25.0,28.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.187,2025-03-16 00:00:00,0.0,31.0,39.0,36.0,48.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.180,2025-03-09 00:00:00,0.0,15.0,19.0,17.0,29.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.172,2025-03-01 00:00:00,0.0,11.0,19.0,17.0,28.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.167,2025-02-24 00:00:00,0.0,12.0,17.0,13.0,25.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.159,2025-02-16 00:00:00,0.0,21.0,33.0,25.0,40.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.152,2025-02-09 00:00:00,0.0,11.0,18.0,18.0,30.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.144,2025-02-01 00:00:00,0.0,25.0,37.0,28.0,41.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.137,2025-01-25 00:00:00,0.0,15.0,18.0,16.0,21.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.130,2025-01-18 00:00:00,0.0,12.0,20.0,18.0,24.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.123,2025-01-11 00:00:00,0.0,22.0,29.0,20.0,35.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.045,2024-10-25 00:00:00,0.0,25.0,31.0,26.0,37.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.040,2024-10-20 00:00:00,0.0,17.0,21.0,16.0,30.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.026,2024-10-06 00:00:00,0.0,20.0,29.0,20.0,38.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.019,2024-09-29 00:00:00,0.0,30.0,35.0,28.0,43.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.014,2024-09-24 00:00:00,0.0,11.0,18.0,17.0,26.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.010,2024-09-20 00:00:00,0.0,15.0,26.0,25.0,30.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,34.004,2024-09-14 00:00:00,0.0,24.0,33.0,19.0,48.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,33.357,2024-09-01 00:00:00,0.0,13.0,13.0,11.0,17.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,33.352,2024-08-27 00:00:00,0.0,25.0,32.0,25.0,38.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,33.348,2024-08-23 00:00:00,0.0,19.0,25.0,22.0,31.0,0.0,900000.0
Ørjan Nyland,no NOR,GK,33.341,2024-08-16 00:00:00,0.0,33.0,44.0,29.0,50.0,0.0,900000.0
Zito Luvumbo,ao ANG,FW,23.070,2025-05-18 00:00:00,0.0,14.0,9.0,5.0,9.0,0.1,5000000.0
Zito Luvumbo,ao ANG,"LM,RW,RM",23.062,2025-05-10 00:00:00,0.0,19.0,15.0,10.0,15.0,0.0,5000000.0
Zito Luvumbo,ao ANG,FW,23.055,2025-05-03 00:00:00,0.0,8.0,4.0,4.0,5.0,0.1,5000000.0
Zito Luvumbo,ao ANG,FW,23.050,2025-04-28 00:00:00,0.0,13.0,9.0,5.0,9.0,0.5,5000000.0
Zito Luvumbo,ao ANG,CM,23.045,2025-04-23 00:00:00,0.0,21.0,17.0,11.0,18.0,0.0,5000000.0
Zito Luvumbo,ao ANG,"RW,DM",23.034,2025-04-12 00:00:00,0.0,8.0,6.0,4.0,6.0,0.0,5000000.0
Zito Luvumbo,ao ANG,AM,23.028,2025-04-06 00:00:00,0.0,9.0,6.0,3.0,6.0,0.0,5000000.0
Zito Luvumbo,ao ANG,AM,23.021,2025-03-30 00:00:00,1.0,5.0,5.0,3.0,5.0,0.1,5000000.0
Zito Luvumbo,ao ANG,FW,22.358,2025-03-02 00:00:00,0.0,8.0,3.0,1.0,3.0,0.0,5000000.0
Zito Luvumbo,ao ANG,"LW,RW,RM",22.351,2025-02-23 00:00:00,0.0,16.0,16.0,8.0,17.0,0.0,5000000.0
Zito Luvumbo,ao ANG,FW,22.280,2024-12-14 00:00:00,0.0,13.0,8.0,3.0,8.0,0.0,5000000.0
Zito Luvumbo,ao ANG,"LW,RM",22.274,2024-12-08 00:00:00,0.0,16.0,13.0,8.0,13.0,0.1,5000000.0
Zito Luvumbo,ao ANG,"AM,RM",22.265,2024-11-29 00:00:00,0.0,27.0,19.0,12.0,20.0,0.1,5000000.0
Zito Luvumbo,ao ANG,"LW,RW",22.260,2024-11-24 00:00:00,0.0,18.0,21.0,13.0,23.0,0.0,5000000.0
Zito Luvumbo,ao ANG,LW,22.245,2024-11-09 00:00:00,0.0,21.0,13.0,9.0,14.0,0.0,5000000.0
Zito Luvumbo,ao ANG,LW,22.240,2024-11-04 00:00:00,1.0,23.0,20.0,14.0,20.0,0.0,5000000.0
Zito Luvumbo,ao ANG,RM,22.234,2024-10-29 00:00:00,0.0,4.0,5.0,1.0,5.0,0.0,5000000.0
Zito Luvumbo,ao ANG,DM,22.230,2024-10-25 00:00:00,0.0,1.0,1.0,0.0,1.0,0.0,5000000.0
Zito Luvumbo,ao ANG,AM,22.225,2024-10-20 00:00:00,0.0,9.0,4.0,4.0,5.0,0.0,5000000.0
Zito Luvumbo,ao ANG,"RW,LW",22.211,2024-10-06 00:00:00,0.0,7.0,7.0,4.0,7.0,0.1,5000000.0
Zito Luvumbo,ao ANG,FW,22.205,2024-09-30 00:00:00,0.0,20.0,21.0,12.0,21.0,0.0,5000000.0
Zito Luvumbo,ao ANG,FW,22.195,2024-09-20 00:00:00,0.0,9.0,7.0,8.0,10.0,0.1,5000000.0
Zito Luvumbo,ao ANG,AM,22.190,2024-09-15 00:00:00,0.0,18.0,19.0,9.0,19.0,0.1,5000000.0
Zito Luvumbo,ao ANG,"FW,CM",22.175,2024-08-31 00:00:00,0.0,34.0,25.0,20.0,27.0,0.5,5000000.0
Zito Luvumbo,ao ANG,FW,22.170,2024-08-26 00:00:00,0.0,10.0,7.0,5.0,8.0,0.1,5000000.0
Zito Luvumbo,ao ANG,FW,22.162,2024-08-18 00:00:00,0.0,16.0,7.0,5.0,8.0,0.1,5000000.0
Zion Suzuki,jp JPN,GK,22.277,2025-05-25 00:00:00,0.0,15.0,37.0,31.0,43.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.277,2025-05-25 00:00:00,0.0,15.0,37.0,31.0,43.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.270,2025-05-18 00:00:00,0.0,16.0,22.0,16.0,36.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.270,2025-05-18 00:00:00,0.0,16.0,22.0,16.0,36.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.262,2025-05-10 00:00:00,0.0,29.0,40.0,29.0,52.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.262,2025-05-10 00:00:00,0.0,29.0,40.0,29.0,52.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.255,2025-05-03 00:00:00,0.0,15.0,21.0,26.0,35.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.255,2025-05-03 00:00:00,0.0,15.0,21.0,26.0,35.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.250,2025-04-28 00:00:00,0.0,22.0,37.0,28.0,54.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.250,2025-04-28 00:00:00,0.0,22.0,37.0,28.0,54.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.245,2025-04-23 00:00:00,0.0,17.0,35.0,31.0,49.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.245,2025-04-23 00:00:00,0.0,17.0,35.0,31.0,49.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.235,2025-04-13 00:00:00,0.0,17.0,39.0,35.0,54.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.235,2025-04-13 00:00:00,0.0,17.0,39.0,35.0,54.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.227,2025-04-05 00:00:00,0.0,22.0,29.0,30.0,40.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.227,2025-04-05 00:00:00,0.0,22.0,29.0,30.0,40.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.222,2025-03-31 00:00:00,0.0,15.0,30.0,33.0,34.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.222,2025-03-31 00:00:00,0.0,15.0,30.0,33.0,34.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.206,2025-03-15 00:00:00,0.0,22.0,28.0,30.0,33.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.206,2025-03-15 00:00:00,0.0,22.0,28.0,30.0,33.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.199,2025-03-08 00:00:00,0.0,14.0,19.0,14.0,22.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.199,2025-03-08 00:00:00,0.0,14.0,19.0,14.0,22.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.192,2025-03-01 00:00:00,0.0,32.0,46.0,52.0,62.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.192,2025-03-01 00:00:00,0.0,32.0,46.0,52.0,62.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.185,2025-02-22 00:00:00,0.0,16.0,25.0,21.0,39.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.185,2025-02-22 00:00:00,0.0,16.0,25.0,21.0,39.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.179,2025-02-16 00:00:00,0.0,22.0,34.0,20.0,41.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.179,2025-02-16 00:00:00,0.0,22.0,34.0,20.0,41.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.172,2025-02-09 00:00:00,0.0,12.0,21.0,20.0,27.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.172,2025-02-09 00:00:00,0.0,12.0,21.0,20.0,27.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.163,2025-01-31 00:00:00,0.0,11.0,15.0,19.0,24.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.163,2025-01-31 00:00:00,0.0,11.0,15.0,19.0,24.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.158,2025-01-26 00:00:00,0.0,28.0,37.0,35.0,47.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.158,2025-01-26 00:00:00,0.0,28.0,37.0,35.0,47.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.151,2025-01-19 00:00:00,0.0,15.0,22.0,19.0,27.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.151,2025-01-19 00:00:00,0.0,15.0,22.0,19.0,27.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.144,2025-01-12 00:00:00,0.0,13.0,16.0,16.0,24.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.144,2025-01-12 00:00:00,0.0,13.0,16.0,16.0,24.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.137,2025-01-05 00:00:00,0.0,17.0,33.0,24.0,40.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.137,2025-01-05 00:00:00,0.0,17.0,33.0,24.0,40.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.129,2024-12-28 00:00:00,0.0,19.0,28.0,23.0,37.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.129,2024-12-28 00:00:00,0.0,19.0,28.0,23.0,37.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.123,2024-12-22 00:00:00,0.0,27.0,35.0,30.0,41.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.123,2024-12-22 00:00:00,0.0,27.0,35.0,30.0,41.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.116,2024-12-15 00:00:00,0.0,27.0,47.0,42.0,54.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.116,2024-12-15 00:00:00,0.0,27.0,47.0,42.0,54.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.107,2024-12-06 00:00:00,0.0,14.0,26.0,22.0,37.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.107,2024-12-06 00:00:00,0.0,14.0,26.0,22.0,37.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.102,2024-12-01 00:00:00,0.0,15.0,23.0,18.0,38.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.102,2024-12-01 00:00:00,0.0,15.0,23.0,18.0,38.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.094,2024-11-23 00:00:00,0.0,26.0,39.0,31.0,43.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.094,2024-11-23 00:00:00,0.0,26.0,39.0,31.0,43.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.080,2024-11-09 00:00:00,0.0,18.0,34.0,17.0,44.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.080,2024-11-09 00:00:00,0.0,18.0,34.0,17.0,44.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.075,2024-11-04 00:00:00,0.0,19.0,25.0,19.0,36.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.075,2024-11-04 00:00:00,0.0,19.0,25.0,19.0,36.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.070,2024-10-30 00:00:00,0.0,33.0,39.0,38.0,51.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.070,2024-10-30 00:00:00,0.0,33.0,39.0,38.0,51.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.067,2024-10-27 00:00:00,0.0,26.0,36.0,35.0,41.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.067,2024-10-27 00:00:00,0.0,26.0,36.0,35.0,41.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.059,2024-10-19 00:00:00,0.0,18.0,29.0,33.0,42.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.059,2024-10-19 00:00:00,0.0,18.0,29.0,33.0,42.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.046,2024-10-06 00:00:00,0.0,22.0,31.0,21.0,50.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.046,2024-10-06 00:00:00,0.0,22.0,31.0,21.0,50.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.040,2024-09-30 00:00:00,0.0,23.0,33.0,30.0,42.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.040,2024-09-30 00:00:00,0.0,23.0,33.0,30.0,42.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.031,2024-09-21 00:00:00,0.0,18.0,28.0,29.0,36.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.031,2024-09-21 00:00:00,0.0,18.0,28.0,29.0,36.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.010,2024-08-31 00:00:00,0.0,32.0,42.0,38.0,48.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.010,2024-08-31 00:00:00,0.0,32.0,42.0,38.0,48.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,22.003,2024-08-24 00:00:00,0.0,24.0,29.0,25.0,36.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,22.003,2024-08-24 00:00:00,0.0,24.0,29.0,25.0,36.0,0.0,20000000.0
Zion Suzuki,jp JPN,GK,21.362,2024-08-17 00:00:00,0.0,17.0,28.0,28.0,37.0,0.0,10000000.0
Zion Suzuki,jp JPN,GK,21.362,2024-08-17 00:00:00,0.0,17.0,28.0,28.0,37.0,0.0,20000000.0
Zeki Celik,tr TUR,RB,28.097,2025-05-25 00:00:00,0.0,45.0,51.0,51.0,58.0,0.0,6000000.0
Zeki Celik,tr TUR,CB,28.090,2025-05-18 00:00:00,0.0,57.0,72.0,69.0,77.0,0.0,6000000.0
Zeki Celik,tr TUR,CB,28.084,2025-05-12 00:00:00,0.0,19.0,29.0,27.0,32.0,0.0,6000000.0
Zeki Celik,tr TUR,CB,28.076,2025-05-04 00:00:00,0.0,54.0,55.0,52.0,61.0,0.0,6000000.0
Zeki Celik,tr TUR,CB,28.069,2025-04-27 00:00:00,0.0,25.0,28.0,28.0,35.0,0.0,6000000.0
Zeki Celik,tr TUR,CB,28.061,2025-04-19 00:00:00,0.0,66.0,73.0,55.0,75.0,0.0,6000000.0
Zeki Celik,tr TUR,RB,28.055,2025-04-13 00:00:00,0.0,40.0,46.0,45.0,56.0,0.1,6000000.0
Zeki Celik,tr TUR,"WB,RB",28.048,2025-04-06 00:00:00,0.0,19.0,24.0,26.0,35.0,0.0,6000000.0
Zeki Celik,tr TUR,CB,28.013,2025-03-02 00:00:00,0.0,27.0,38.0,36.0,46.0,0.0,6000000.0
Zeki Celik,tr TUR,CB,27.365,2025-02-16 00:00:00,0.0,77.0,83.0,83.0,88.0,0.1,6000000.0
Zeki Celik,tr TUR,"CB,WB",27.358,2025-02-09 00:00:00,0.0,21.0,33.0,26.0,41.0,0.0,6000000.0
Zeki Celik,tr TUR,CB,27.344,2025-01-26 00:00:00,0.0,47.0,52.0,47.0,52.0,0.0,6000000.0
Zeki Celik,tr TUR,"RB,WB",27.335,2025-01-17 00:00:00,0.0,9.0,9.0,7.0,9.0,0.0,6000000.0
Zeki Celik,tr TUR,RB,27.330,2025-01-12 00:00:00,0.0,1.0,2.0,2.0,4.0,0.0,6000000.0
Zeki Celik,tr TUR,CB,27.316,2024-12-29 00:00:00,0.0,20.0,23.0,23.0,23.0,0.0,6000000.0
Zeki Celik,tr TUR,"CB,WB",27.302,2024-12-15 00:00:00,0.0,70.0,80.0,71.0,87.0,0.1,6000000.0
Zeki Celik,tr TUR,WB,27.294,2024-12-07 00:00:00,0.0,5.0,6.0,9.0,9.0,0.0,6000000.0
Zeki Celik,tr TUR,WB,27.289,2024-12-02 00:00:00,0.0,23.0,29.0,25.0,33.0,0.0,6000000.0
Zeki Celik,tr TUR,"RB,WB",27.281,2024-11-24 00:00:00,0.0,13.0,15.0,13.0,18.0,0.0,6000000.0
Zeki Celik,tr TUR,WB,27.267,2024-11-10 00:00:00,0.0,16.0,23.0,17.0,27.0,0.0,6000000.0
Zeki Celik,tr TUR,WB,27.260,2024-11-03 00:00:00,0.0,33.0,45.0,38.0,54.0,0.1,6000000.0
Zeki Celik,tr TUR,WB,27.257,2024-10-31 00:00:00,0.0,34.0,38.0,38.0,47.0,0.0,6000000.0
Zeki Celik,tr TUR,"CB,WB",27.253,2024-10-27 00:00:00,0.0,59.0,62.0,59.0,67.0,0.0,6000000.0
Zeki Celik,tr TUR,"WB,RB",27.246,2024-10-20 00:00:00,0.0,25.0,28.0,33.0,38.0,0.1,6000000.0
Zeki Celik,tr TUR,WB,27.232,2024-10-06 00:00:00,0.0,36.0,43.0,42.0,49.0,0.0,6000000.0
Zeki Celik,tr TUR,"WB,CB",27.225,2024-09-29 00:00:00,0.0,36.0,45.0,45.0,53.0,0.0,6000000.0
Zeki Celik,tr TUR,WB,27.218,2024-09-22 00:00:00,0.0,16.0,19.0,25.0,26.0,0.0,6000000.0
Zeki Celik,tr TUR,WB,27.211,2024-09-15 00:00:00,0.0,4.0,8.0,6.0,8.0,0.0,6000000.0
Zeki Celik,tr TUR,RB,27.197,2024-09-01 00:00:00,0.0,40.0,48.0,45.0,57.0,0.0,6000000.0
Zeki Celik,tr TUR,RB,27.190,2024-08-25 00:00:00,0.0,31.0,37.0,33.0,41.0,0.0,6000000.0
Zeki Celik,tr TUR,RB,27.183,2024-08-18 00:00:00,0.0,43.0,47.0,45.0,58.0,0.0,6000000.0
Zakaria Aboukhlal,ma MAR,RW,25.088,2025-05-17 00:00:00,0.0,8.0,5.0,4.0,5.0,0.1,12000000.0
Zakaria Aboukhlal,ma MAR,RW,25.088,2025-05-17 00:00:00,0.0,8.0,5.0,4.0,5.0,0.1,12000000.0
Zakaria Aboukhlal,ma MAR,AM,25.081,2025-05-10 00:00:00,0.0,4.0,3.0,2.0,3.0,0.0,12000000.0
Zakaria Aboukhlal,ma MAR,AM,25.081,2025-05-10 00:00:00,0.0,4.0,3.0,2.0,3.0,0.0,12000000.0
Zakaria Aboukhlal,ma MAR,AM,25.061,2025-04-20 00:00:00,0.0,9.0,6.0,3.0,6.0,0.0,12000000.0
Zakaria Aboukhlal,ma MAR,AM,25.061,2025-04-20 00:00:00,0.0,9.0,6.0,3.0,6.0,0.0,12000000.0
Zakaria Aboukhlal,ma MAR,AM,25.005,2025-02-23 00:00:00,1.0,20.0,15.0,10.0,15.0,0.3,12000000.0
Zakaria Aboukhlal,ma MAR,AM,25.005,2025-02-23 00:00:00,1.0,20.0,15.0,10.0,15.0,0.3,12000000.0
Zakaria Aboukhlal,ma MAR,LM,24.363,2025-02-15 00:00:00,0.0,11.0,12.0,9.0,13.0,0.3,12000000.0
Zakaria Aboukhlal,ma MAR,LM,24.363,2025-02-15 00:00:00,0.0,11.0,12.0,9.0,13.0,0.3,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.357,2025-02-09 00:00:00,0.0,11.0,4.0,2.0,4.0,0.0,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.357,2025-02-09 00:00:00,0.0,11.0,4.0,2.0,4.0,0.0,12000000.0
Zakaria Aboukhlal,ma MAR,"AM,FW",24.350,2025-02-02 00:00:00,0.0,20.0,15.0,10.0,15.0,0.1,12000000.0
Zakaria Aboukhlal,ma MAR,"AM,FW",24.350,2025-02-02 00:00:00,0.0,20.0,15.0,10.0,15.0,0.1,12000000.0
Zakaria Aboukhlal,ma MAR,"AM,FW",24.343,2025-01-26 00:00:00,0.0,21.0,12.0,8.0,15.0,0.4,12000000.0
Zakaria Aboukhlal,ma MAR,"AM,FW",24.343,2025-01-26 00:00:00,0.0,21.0,12.0,8.0,15.0,0.4,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.335,2025-01-18 00:00:00,0.0,13.0,11.0,10.0,12.0,0.2,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.335,2025-01-18 00:00:00,0.0,13.0,11.0,10.0,12.0,0.2,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.329,2025-01-12 00:00:00,0.0,24.0,18.0,11.0,18.0,0.5,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.329,2025-01-12 00:00:00,0.0,24.0,18.0,11.0,18.0,0.5,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.322,2025-01-05 00:00:00,1.0,10.0,5.0,5.0,5.0,0.8,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.322,2025-01-05 00:00:00,1.0,10.0,5.0,5.0,5.0,0.8,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.299,2024-12-13 00:00:00,1.0,17.0,16.0,11.0,16.0,0.4,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.299,2024-12-13 00:00:00,1.0,17.0,16.0,11.0,16.0,0.4,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.293,2024-12-07 00:00:00,0.0,28.0,23.0,12.0,23.0,0.3,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.293,2024-12-07 00:00:00,0.0,28.0,23.0,12.0,23.0,0.3,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.287,2024-12-01 00:00:00,0.0,9.0,3.0,3.0,3.0,0.7,12000000.0
Zakaria Aboukhlal,ma MAR,AM,24.287,2024-12-01 00:00:00,0.0,9.0,3.0,3.0,3.0,0.7,12000000.0
